"age","1","2","3","4","5","6","7","8","9","10","11","12"
0,46,146,18,0,1,65,0,0,0,0,0,0
1,49,178,27,4,19,305,3,0,0,0,0,0
2,74,155,46,2,24,168,0,1,0,0,0,0
3,69,182,39,0,15,74,2,0,0,0,0,0
4,82,193,26,1,12,40,0,0,0,0,0,0
5,91,222,38,0,10,27,0,0,2,0,0,0
6,103,272,22,1,14,34,0,0,0,0,0,0
7,107,296,31,0,14,29,0,0,2,0,0,0
8,130,247,32,1,31,18,0,0,0,0,0,0
9,95,239,22,0,20,22,1,0,0,0,0,0
10,130,295,35,0,14,17,0,1,0,0,0,0
11,155,328,35,0,15,15,0,0,0,0,1,0
12,174,269,38,0,19,14,0,0,0,0,0,0
13,256,299,42,0,25,15,0,0,0,0,3,0
14,314,246,45,0,26,13,2,0,0,0,2,0
15,478,168,61,0,38,22,1,1,0,0,4,0
16,709,133,88,0,58,18,0,0,0,0,5,0
17,1026,166,94,1,51,30,0,0,0,0,10,0
18,2249,150,140,0,70,40,1,0,0,0,5,0
19,2074,145,148,1,97,53,2,1,0,0,13,0
20,1843,152,151,0,99,73,1,0,0,0,9,0
21,1480,171,178,0,101,48,1,2,0,0,8,0
22,1269,151,226,3,100,58,3,0,0,0,12,1
23,1140,164,198,1,107,63,1,1,1,0,14,0
24,1037,147,211,1,111,70,3,1,0,1,12,0
25,957,158,226,1,115,58,5,2,0,0,14,0
26,904,141,195,0,110,48,6,0,0,0,18,1
27,860,177,184,1,106,47,2,0,0,0,15,0
28,741,167,192,1,90,38,5,0,0,0,18,0
29,766,207,214,1,110,49,1,2,0,0,12,0
30,790,168,223,2,139,41,7,0,0,0,29,0
31,804,242,226,0,146,46,6,0,0,1,24,0
32,867,253,227,2,120,55,5,2,1,0,23,0
33,791,261,219,1,117,47,6,1,0,0,22,0
34,775,290,229,5,140,54,5,0,0,0,26,0
35,744,287,207,0,123,57,6,1,0,0,28,0
36,749,337,192,0,134,44,3,2,0,0,21,0
37,714,343,223,1,143,44,9,0,0,0,18,0
38,695,344,180,0,143,51,6,1,0,0,22,0
39,652,328,181,0,123,73,6,0,0,0,17,0
40,658,353,190,0,97,44,6,0,0,1,10,1
41,704,390,180,0,106,42,4,1,0,0,14,0
42,633,331,178,2,112,42,4,0,0,0,14,0
43,682,413,177,2,115,49,7,1,0,0,17,0
44,708,399,190,0,119,52,4,1,0,0,11,0
45,796,401,192,0,111,74,9,1,0,0,13,0
46,777,424,181,0,110,43,2,1,0,0,22,0
47,744,423,196,1,112,61,1,1,0,0,13,0
48,806,455,176,0,105,52,2,0,1,0,11,0
49,816,522,203,1,128,50,3,0,0,0,12,0
50,905,618,197,0,111,55,3,1,0,0,15,2
51,902,595,216,0,104,67,3,1,2,0,16,1
52,936,660,211,0,122,43,4,0,0,0,13,0
53,1035,626,202,2,134,55,5,0,0,0,5,1
54,991,647,198,0,110,51,1,1,0,0,10,0
55,1006,744,178,1,103,57,3,2,1,1,5,0
56,1083,702,185,0,102,38,5,1,0,0,10,0
57,1017,795,161,0,87,53,8,0,0,0,4,0
58,1079,782,175,0,80,49,3,2,0,0,6,0
59,1044,834,140,0,76,49,4,1,0,0,9,0
60,1103,787,133,2,92,46,2,0,0,0,6,0
61,1081,793,127,0,84,48,0,1,0,0,5,0
62,1068,855,125,3,66,39,2,0,0,0,7,0
63,991,806,133,2,74,37,1,0,0,0,8,0
64,963,769,113,1,69,30,1,0,0,0,11,0
65,909,755,78,1,44,31,0,0,0,0,5,0
66,831,690,48,1,36,21,2,0,0,0,1,0
67,732,636,44,0,48,19,0,0,0,0,5,0
68,651,588,36,0,30,18,1,0,0,0,4,0
69,643,652,29,0,32,18,2,0,0,0,2,0
70,707,688,49,2,31,31,1,0,0,0,4,0
71,693,756,36,0,37,18,2,1,0,0,0,0
72,715,892,34,1,43,24,0,0,0,1,3,0
73,671,896,37,0,23,20,0,0,2,0,2,0
74,693,914,42,0,28,27,0,0,0,0,3,0
75,675,988,29,0,23,12,1,1,0,0,3,0
76,637,1007,22,1,21,12,0,1,0,0,5,0
77,557,984,21,0,23,10,0,1,0,0,2,0
78,470,1081,31,0,16,14,0,0,0,0,7,0
79,499,1117,29,1,8,14,1,0,0,0,4,0
80,395,1048,18,0,15,12,0,0,0,0,3,0
81,332,1081,14,1,9,7,0,0,0,0,1,0
82,305,1073,10,0,14,7,0,0,0,0,5,0
83,284,1173,13,2,10,6,0,0,0,0,4,0
84,269,1113,15,0,7,11,0,0,0,0,6,0
85,208,1052,10,0,4,8,0,0,0,0,2,0
86,195,934,14,0,4,4,0,0,0,0,4,0
87,136,852,15,1,3,8,0,0,0,0,2,0
88,101,808,11,1,3,4,0,0,0,0,3,0
89,67,640,7,0,1,0,0,0,0,0,0,0
90,41,538,6,0,1,4,0,0,0,0,0,0
91,29,506,4,0,0,4,0,0,0,1,0,0
92,21,356,4,0,1,4,0,0,0,0,1,0
93,16,308,1,0,1,0,0,0,0,0,0,0
94,18,191,1,0,0,1,0,0,0,0,0,0
95,5,135,2,0,0,0,0,0,0,0,0,0
96,4,117,1,0,0,1,0,0,0,0,0,0
97,1,75,1,0,0,0,0,0,0,0,0,0
98,2,45,0,0,0,0,0,0,0,0,0,0
99,2,32,0,0,0,0,0,0,0,0,0,0
100,0,26,0,0,0,0,0,0,0,0,0,0
101,1,15,0,0,0,0,0,0,0,0,0,0
102,1,11,0,0,0,0,0,0,0,0,0,0
103,2,4,0,0,0,0,0,0,0,0,0,0
104,0,4,0,0,0,0,0,0,0,0,0,0
106,0,2,0,0,0,0,0,0,0,0,0,0
108,0,1,0,0,0,0,0,0,0,0,0,0
113,4,3,0,0,0,0,0,0,0,0,0,0
114,6,11,0,0,0,0,0,0,0,0,0,0
115,10,8,1,0,0,0,0,0,0,0,0,0
118,2,0,0,0,0,0,0,0,0,0,0,0
119,1,0,0,0,0,0,0,0,0,0,0,0
